Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	definition	definition source	created	term editor	English syn.	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	curation status	comment	image	Curation notes							
	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	AT dc:date^^xsd:dateTime	A IAO:0000117 SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	A rdfs:seeAlso SPLIT=|	AI IAO:0000114	AL rdfs:comment@en	AI schema:image								
																											
FOODON:00003427	caryopsis fruit	maize kernel (whole)	'caryopsis fruit' and 'derives from' some 'Zea mays subsp. mays'		A caryopsis fruit of a maize plant  (Zea mays subsp. mays).	FoodOn	2020-09-09T22:30:15Z	http://orcid.org/0000-0002-8844-9165	maize kernel|corn kernel								IAO:0000122										
FOODON:00003428	ear infructescence	maize cob (whole)	'ear infructescence' and 'derives from' some 'Zea mays subsp. mays'		An ear infructescence of a maize plant (Zea mays subsp. mays).	FoodOn	2020-09-09T22:30:40Z	http://orcid.org/0000-0002-8844-9165	maize cob|corn cob								IAO:0000122										
FOODON:03301275	seed	mung bean (whole)	'seed' and 'derives from' some 'Vigna radiata var. radiata'		A seed of a mung bean plant (Vigna radiata var. radiata).	FoodOn		http://orcid.org/0000-0002-8844-9165	mung bean								IAO:0000122										
FOODON:00003429	caryopsis fruit	whole oats	'caryopsis fruit' and 'derives from' some 'Avena sativa'		A caryopsis fruit of an oat plant (Avena sativa).	FoodOn	2020-09-09T22:33:32Z	http://orcid.org/0000-0002-8844-9165	oats								IAO:0000122										
FOODON:03315106	citrus fruit (whole)	orange (whole)	'hesperidium fruit' and 'derives from' some 'Citrus sinensis'		A hesperidium fruit of an orange tree (Citrus sinensis).	https://en.wikipedia.org/wiki/Orange_(fruit)		http://orcid.org/0000-0002-8844-9165	orange								IAO:0000122										
FOODON:00003430	caryopsis fruit	perl millet kernel	'caryopsis fruit' and 'derives from' some 'Cenchrus americanus'		A caryopsis fruit of a perl millet plant (Cenchrus americanus).	FoodOn	2020-09-10T02:58:48Z	http://orcid.org/0000-0002-8844-9165	perl millet								IAO:0000122										
FOODON:00002781	seed	pigeon pea (whole)	'seed' and 'derives from' some 'Cajanus cajan'		A seed of a pigeon pea plant (Cajanus cajan).	https://en.wikipedia.org/wiki/Pigeon_pea	2019-07-09T22:29:49Z	http://orcid.org/0000-0002-8844-9165	pigeon pea								IAO:0000122										
FOODON:03315354	shoot axis tuber	potato (whole)	'shoot axis tuber' and 'derives from' some 'Solanum tuberosum'		A shoot axis tuber of a potato plant (Solanum tuberosum).	FoodOn		http://orcid.org/0000-0002-8844-9165	potato								IAO:0000122										
FOODON:00003431	root	radish (whole)	'root' and 'derives from' some 'Raphanus sativus'		A root of a radish plant (Raphanus sativus).	FoodOn	2020-09-10T03:13:06Z	http://orcid.org/0000-0002-8844-9165	radish								IAO:0000122										
FOODON:00003433	drupelet berry	raspberry (whole)	'aggregate fruit' and 'derives from' some 'raspberry plant'		An aggregate fruit of a raspberry plant.	FoodOn	2020-09-10T03:24:33Z	http://orcid.org/0000-0002-8844-9165	raspberry								IAO:0000122										
FOODON:00003432	petiole	rhubarb stalk (whole)	'petiole' and 'derives from' some 'Rheum rhabarbarum'		A petiole of a rhubarb plant (Rheum rhabarbarum).	FoodOn	2020-09-10T03:17:01Z	http://orcid.org/0000-0002-8844-9165	rhubart stalk								IAO:0000122										
FOODON:00003434	caryopsis fruit	whole grain rice	'caryopsis fruit' and 'derives from' some 'Oryza sativa'		 A caryopsis fruit of a rice plant (Oryza sativa).	FoodOn	2020-09-10T03:37:39Z	http://orcid.org/0000-0002-8844-9165									IAO:0000122										
FOODON:00003440	hypocotyl	rutabaga (whole)	'hypocotyl' and 'derives from' some 'Brassica napus subsp. rapifera'		A hypocotyl of a rutabaga plant (Brassica napus subsp. rapifera).	FoodOn	2020-09-10T04:30:20Z	http://orcid.org/0000-0002-8844-9165	rutabaga								IAO:0000122										
FOODON:00003441	anther	saffron thread	'anther' and 'derives from' some 'Crocus sativus'		An anther of a saffron plant (Crocus sativus).	https://en.wikipedia.org/wiki/Saffron	2020-09-10T04:36:16Z	http://orcid.org/0000-0002-8844-9165	saffron								IAO:0000122										
FOODON:00003442	leaf	siberian kale leaf (whole)	'leaf' and 'derives from' some 'Brassica napus var. pabularia'		A leaf of a siberian kale plant (Brassica napus var. pabularia).	FoodOn	2020-09-10T04:47:48Z	http://orcid.org/0000-0002-8844-9165	siberian kale leaf								IAO:0000122										
FOODON:03309978	caryopsis fruit	sorghum kernel	'caryopsis fruit' and 'derives from' some Sorghum		A caryopsis fruit of a sorghum species plant (Sorghum).	FoodOn		http://orcid.org/0000-0002-8844-9165	sorghum								IAO:0000122										
FOODON:03301415	seed	soybean (whole)	'seed' and 'derives from' some 'Glycine max'		A seed of a soyabean plant (Glycine max).	FoodOn		http://orcid.org/0000-0002-8844-9165	soy bean|soya bean|soybean								IAO:0000122										
FOODON:00003443	aggregate fruit	strawberry (whole)	'aggregate fruit' and 'derives from' some 'Fragaria x ananassa'		An aggregate fruit of strawberry plant  (Fragaria x ananassa).	FoodOn	2020-09-10T04:57:07Z	http://orcid.org/0000-0002-8844-9165	strawberry								IAO:0000122										
FOODON:00003412	primary root	sugar beet (whole)		'leaf' and 'derives from' some 'grape plant'	A primary root of a sugar beet plant (Beta vulgaris subsp. vulgaris).	FoodOn	2020-09-09T07:45:46Z	http://orcid.org/0000-0002-8844-9165	sugar beet								IAO:0000122										
FOODON:00003444	stem	sugar cane stem	'stem' and 'derives from' some 'Saccharum officinarum		A stem of a sugar cane plant (Saccharum officinarum).	FoodOn	2020-09-10T05:06:55Z	http://orcid.org/0000-0002-8844-9165	sugar cane								IAO:0000122										
FOODON:00003445	tuberous root tuber	sweet potato (whole)	'tuberous root' and 'derives from' some 'Ipomoea batatas'		A tuberous root tuber of a sweet potato plant (Ipomoea batatas).	FoodOn	2020-09-10T05:12:34Z	http://orcid.org/0000-0002-8844-9165	sweet potato								IAO:0000122										
FOODON:03301453	berry fruit	tomato (whole)	'berry fruit' and 'derives from' some 'Solanum lycopersicum'		A berry fruit of a tomato plant (Solanum lycopersicum).	FoodOn		http://orcid.org/0000-0002-8844-9165	tomato								IAO:0000122										
FOODON:00003447	hypocotyl	turnip (whole)	'hypocotyl' and 'derives from' some 'Brassica rapa subsp. rapa'		A hypocotyl of a turnip plant (Brassica rapa subsp. rapa).	FoodOn	2020-09-10T05:38:38Z	http://orcid.org/0000-0002-8844-9165	turnip								IAO:0000122										
FOODON:00003448	shoot axis tuber	yam (whole)	'shoot axis tuber' and 'derives from' some Dioscorea		A shoot axis tuber of a yam plant (Dioscorea).	FoodOn	2020-09-10T05:45:46Z	http://orcid.org/0000-0002-8844-9165	yam								IAO:0000122										
FOODON:00003528	mushroom substance	mushroom (fruitbody)	'fruitbody' and 'derives from' some 'mushroom (whole organism)'		A fruitbody of a mushroom.	FoodOn	2020-10-14T12:37:01 AMZ	https://orcid.org/0000-0001-5275-8866	mushroom | toadstool																		
FOODON:00003465	mushroom (fruitbody)	cultivated mushroom	'fruitbody' and 'derives from' some 'Agaricus bisporus'		A fruitbody of a cultivated mushroom fungus (Agaricus bisporus).	https://en.wikipedia.org/wiki/Agaricus_bisporus	2020-10-13T05:45:46Z	http://orcid.org/0000-0002-8844-9165									IAO:0000122										
FOODON:00003462	cultivated mushroom	white mushroom	'fruitbody' and 'has quality' some 'white' and 'derives from' some 'Agaricus bisporus' and 'sexually immature organism'		A white-colored immature fruitbody of a cultivated mushroom fungus (Agaricus bisporus).	https://en.wikipedia.org/wiki/Agaricus_bisporus	2020-10-13T05:45:46Z	http://orcid.org/0000-0002-8844-9165	common mushroom | button mushroom | white mushroom | white button mushroom | cultivated mushroom | table mushroom | champignon mushroom								IAO:0000122										
