FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
FR23850 	GAUFRE, PREPARATION ARTISANALE 	GAUFRE, PREPARATION ARTISANALE 	A0194 B1201 C0235 E0140 F0014 G0004 H0186 H0263 H0152 J0003 K0003 P0024
FR23851 	PATE A GAUFRE 	PATE A GAUFRE 	A0194 B1201 C0235 E0139 F0003 G0003 H0263 H0152 H0186 J0001 K0003 P0024
FR23855 	GAUFRE SIMPLE 	GAUFRE SIMPLE 	A0194 B1201 C0235 E0140 F0014 G0004 H0152 H0163 H0186 J0001 K0003 P0024
FR23860 	GAUFRE AU SUCRE 	GAUFRE AU SUCRE 	A0194 B1201 C0235 E0140 F0014 G0004 H0158 H0152 H0186 H0263 J0001 K0003 P0024
FR23900 	PATISSERIE SANS SPECIFICATION 	PATISSERIE SANS SPECIFICATION 	A0202 B0001 C0001 E0105 F0014 G0005 H0221 H0186 H0136 H0152 J0001 K0003 P0024
FR23910 	CAKE, SANS SPECIFICATION 	CAKE, SANS SPECIFICATION 	A0210 B1421 C0208 E0146 F0014 G0005 H0221 H0351 H0186 H0136 H0155 J0003 K0003 P0024
FR23911 	CAKE AUX FRUITS 	CAKE AUX FRUITS 	A0210 B1421 C0208 E0146 F0014 G0005 H0186 H0221 H0155 H0147 H0136 H0351 J0003 K0003 P0024
FR23912 	CAKE AUX FRUITS ET RAISINS 	CAKE AUX FRUITS ET RAISINS 	A0210 B1421 C0208 E0146 F0014 G0005 H0186 H0351 H0155 H0147 H0221 H0136 J0003 K0003 P0024
FR23913 	CAKE AUX AMANDES 	CAKE AUX AMANDES 	A0210 B1421 C0208 E0146 F0014 G0005 H0221 H0351 H0155 H0177 H0186 H0136 J0003 K0003 P0024
FR23914 	CAKE AU BEURRE 	CAKE AU BEURRE 	A0210 B1421 C0208 E0146 F0014 G0005 H0155 H0351 H0186 H0136 H0271 J0003 K0003 P0024
FR23915 	CAKE, SANS SPECIFICATION, PREPARATION ARTISANALE 	CAKE, SANS SPECIFICATION, PREPARATION ARTISANALE 	A0210 B1421 C0208 E0146 F0014 G0005 H0221 H0186 H0160 H0351 H0158 J0003 K0003 P0024
FR23916 	CAKE AUX FRUITS, PREPARATION ARTISANALE 	CAKE AUX FRUITS, PREPARATION ARTISANALE 	A0210 B1421 C0208 E0146 F0014 G0005 H0364 H0160 H0158 H0351 H0186 H0221 J0003 K0003 P0024
FR23917 	CAKE AU MADERE, PREPARATION ARTISANALE 	CAKE AU MADERE, PREPARATION ARTISANALE 	A0210 B1421 C0208 E0146 F0014 G0005 H0364 H0158 H0160 H0186 H0221 H0351 J0003 K0003 P0024
FR23918 	CAKE AUX CERISES, PREPARATION ARTISANALE 	CAKE AUX CERISES, PREPARATION ARTISANALE 	A0210 B1421 C0208 E0146 F0014 G0005 H0221 H0351 H0147 H0158 H0186 J0003 K0003 P0024
FR23925 	GATEAU MARBRE, PREPARATION ARTISANALE 	GATEAU MARBRE, PREPARATION ARTISANALE 	A0210 B1421 C0208 E0146 F0014 G0005 H0186 H0221 H0231 H0158 H0117 H0351 J0003 K0003 P0024
FR24000 	BISCUITS SECS, SANS SPECIFICATION 	BISCUITS SECS, SANS SPECIFICATION 	A0203 B1421 C0208 E0140 F0014 G0005 H0136 H0221 H0184 J0003 K0003 P0024
FR24010 	PETIT BEURRE PUR BEURRE, PREPARATION ARTISANALE 	PETIT BEURRE PUR BEURRE, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0271 H0158 H0117 H0184 J0003 K0003 P0024
FR24015 	PETIT BEURRE ET ASSIMILE 	PETIT BEURRE ET ASSIMILE 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0271 H0184 H0221 H0136 J0003 K0003 P0024
FR24020 	PALET, SANS SPECIFICATION 	PALET, SANS SPECIFICATION 	A0203 B1421 C0208 E0140 F0014 G0005 H0147 H0184 H0136 H0263 H0160 H0271 H0351 J0003 K0003 P0024
FR24021 	PALETS, PREPARATION ARTISANALE 	PALETS, PREPARATION ARTISANALE 	A0203 B1713 C0225 E0140 F0014 G0005 H0117 H0271 H0152 H0353 H0158 J0003 K0003 P0024
FR24025 	PALET PUR BEURRE 	PALET PUR BEURRE 	A0203 B1421 C0208 E0140 F0014 G0005 H0160 H0184 H0147 H0136 H0351 H0271 J0003 K0003 P0024
FR24030 	BISCUIT AU LAIT 	BISCUIT AU LAIT 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0221 H0184 H0136 J0003 K0003 P0024
FR24031 	BISCUIT GLACE 	BISCUIT GLACE 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0221 H0136 H0184 J0003 K0003 P0024
FR24032 	BISCUIT GLACE AU CACAO 	BISCUIT GLACE AU CACAO 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0136 H0184 H0231 H0221 J0003 K0003 P0024
FR24033 	BISCUIT GARNI A LA CONFITURE 	BISCUIT GARNI A LA CONFITURE 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0184 H0221 H0136 H0207 H0122 J0003 K0003 P0024
FR24034 	BISCUIT AUX RAISINS 	BISCUIT AUX RAISINS 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0186 H0184 H0147 H0136 H0221 J0003 K0003 P0024
FR24040 	BISCUIT DIT "D'ASSORTIMENTS" 	BISCUIT DIT "D'ASSORTIMENTS" 	A0203 B1421 C0208 E0140 F0014 G0004 H0186 H0184 H0221 H0177 H0231 H0136 J0003 K0003 P0024
FR24050 	SABLE, SANS SPECIFICATION 	SABLE, SANS SPECIFICATION 	A0203 B1421 C0208 E0140 F0014 G0005 H0221 H0186 H0117 H0158 H0185 H0184 H0351 J0003 K0003 P0024
FR24051 	SABLE NANTAIS, PREPARATION ARTISANALE 	SABLE NANTAIS, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0353 H0158 H0184 H0186 H0221 H0117 H0351 J0003 K0003 P0024
