FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
F17717	MEAT SPREAD	MEAT SPREAD		
F17309	MEAT STEW, CANNED	MEAT STEW, CANNED	A0212 B1134 C0103 E0134 F0014 G0001 H0001 J0123 K0001 M0194 N0001 P0024	
F17310	MEAT STEW, FROZEN	MEAT STEW, FROZEN	A0212 B1134 C0103 E0151 F0001 G0001 H0001 J0136 K0001 M0001 N0001 P0024	
F6329	MEAT STOCK	MEAT STOCK	A0133 B1134 C0170 E0130 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F6436	MEAT SUBSTITUTE, FROM VEGETABLE PROTEIN	MEAT SUBSTITUTE, FROM VEGETABLE PROTEIN	A0132 B1452 C0236 E0147 F0014 G0003 H0117 H0150 J0001 K0003 M0001 N0001 P0024	
F1313	MEAT TENDERIZER	MEAT TENDERIZER	A0181 B1655 C0005 E0143 F0001 G0003 H0146 H0158 J0003 K0003 M0001 N0001 P0024	
F6678	MEAT TENDERIZER, LIQUID	MEAT TENDERIZER, LIQUID	A0181 B1655 C0005 E0130 F0014 G0003 H0146 H0158 J0003 K0003 M0001 N0001 P0024	
F4744	MEAT TENDERIZER, SALT-FREE, FROZEN	MEAT TENDERIZER, SALT-FREE, FROZEN	A0181 B1041 C0005 E0143 F0014 G0003 H0146 H0158 J0136 K0003 M0001 N0001 P0024 P0078 P0080	
F17720	MEAT WITH SAUCE AND OTHER FOODSTUFFS	MEAT WITH SAUCE AND OTHER FOODSTUFFS		
F6545	MEAT, CANNED	MEAT, CANNED	A0150 B1134 C0175 E0151 F0014 G0001 H0001 J0123 K0003 M0194 N0001 P0024	
F2181	MEAT, CHARCOAL-BROILED	MEAT, CHARCOAL-BROILED	A0150 B1134 C0175 E0150 F0014 G0007 H0001 J0001 K0003 M0001 N0001 P0024	
F5103	MEAT, COOKED	MEAT, COOKED	A0150 B1134 C0175 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024	
F16720	MEAT, COOKED, CURED, CHOPPED	MEAT, COOKED, CURED, CHOPPED	A0217 B1297 C0175 E0152 F0014 G0001 H0253 J0001 K0001 M0001 N0001 P0024	
F15420	MEAT, COOKED, MANUFACTURED	MEAT, COOKED, MANUFACTURED	A0150 B1134 C0175 E0151 F0014 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F15417	MEAT, CORNED	MEAT, CORNED	A0217 B1297 C0175 E0151 F0001 G0001 H0253 J0001 K0001 M0001 N0001 P0024	
F6895	MEAT, CURED	MEAT, CURED	A0279 B1134 C0175 E0151 F0001 G0003 H0253 J0137 K0003 M0001 N0001 P0024	
F17626	MEAT, CURED, COMMINUTED	MEAT, CURED, COMMINUTED	A0279 B1134 C0175 E0136 F0001 G0003 H0253 J0137 K0003 M0001 N0001 P0024	
F16459	MEAT, CURED, LOW SODIUM	MEAT, CURED, LOW SODIUM	A0150 B1297 C0175 E0151 F0001 G0001 H0253 J0001 K0001 M0001 N0001 P0024 P0156	
F10294	MEAT, DRIED	MEAT, DRIED	A0150 B1134 C0175 E0151 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F4504	MEAT, FROZEN	MEAT, FROZEN	A0150 B1134 C0103 E0151 F0001 G0001 H0001 J0136 K0003 M0001 N0001 P0024	
F7979	MEAT, GROUND, RAW	MEAT, GROUND, RAW	A0150 B1134 C0175 E0122 F0001 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F17719	MEAT, JELLIED	MEAT, JELLIED		
F15678	MEAT, MARINATED OR SIMILAR COLD-PROCESSED PACKAGED	MEAT, MARINATED OR SIMILAR COLD-PROCESSED PACKAGED	A0217 B1297 C0103 E0001 F0001 G0001 H0396 J0001 K0001 M0001 N0001 P0024 P0119	
F15526	MEAT, MINCED	MEAT, MINCED	A0150 B1134 C0175 E0100 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F10247	MEAT, MOLD-FERMENTED	MEAT, MOLD-FERMENTED	A0279 B1134 C0268 E0151 F0001 G0001 H0107 H0221 H0229 J0001 K0003 M0001 N0001 P0024	
F17332	MEAT, NOT FURTHER SPECIFIED	MEAT, NOT FURTHER SPECIFIED	A0150 B1134 C0103 E0151 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F6337	MEAT, PACKAGED	MEAT, PACKAGED	A0150 B1297 C0175 E0151 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F15418	MEAT, PICKLED	MEAT, PICKLED	A0217 B1297 C0127 E0151 F0001 G0001 H0190 J0001 K0001 M0001 N0001 P0024	
F6453	MEAT, POWDERED, FREEZE-DRIED	MEAT, POWDERED, FREEZE-DRIED	A0150 B1134 C0175 E0106 F0001 G0003 H0138 J0130 K0003 M0001 N0001 P0024	
F15665	MEAT, PREPARED	MEAT, PREPARED	A0150 B1134 C0103 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F15649	MEAT, PRESERVED	MEAT, PRESERVED	A0150 B1134 C0103 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F10826	MEAT, PROCESSED	MEAT, PROCESSED	A0150 B1297 C0175 E0151 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F17383	MEAT, QUICK FROZEN	MEAT, QUICK FROZEN	A0150 B1134 C0103 E0151 F0001 G0001 H0001 J0132 K0001 M0001 N0001 P0024	
F6429	MEAT, RAW	MEAT, RAW	A0150 B1134 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F15419	MEAT, SALTED	MEAT, SALTED	A0217 B1297 C0175 E0151 F0001 G0001 H0173 J0103 K0001 M0001 N0001 P0024	
F7971	MEAT, SLICED, RAW	MEAT, SLICED, RAW	A0150 B1134 C0175 E0137 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F16590	MEAT, TINNED	MEAT, TINNED	A0217 B1134 C0175 E0151 F0014 G0001 H0001 J0123 K0001 M0204 N0001 P0024	
F16654	MEAT, TINNED, PASTEURIZED, PICKLED	MEAT, TINNED, PASTEURIZED, PICKLED	A0150 B1134 C0175 E0151 F0018 G0001 H0190 J0135 K0001 M0204 N0020 P0024	
F16653	MEAT, TINNED, STERILIZED, PICKLED	MEAT, TINNED, STERILIZED, PICKLED	A0150 B1134 C0175 E0151 F0014 G0001 H0190 J0120 K0001 M0204 N0020 P0024	
F3567	MEATBALL, COOKED	MEATBALL, COOKED	A0150 B1134 C0268 E0105 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024	
F3566	MEATBALL, RAW	MEATBALL, RAW	A0150 B1134 C0268 E0105 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F17284	MEATBALLS	MEATBALLS	A0150 B1134 C0103 E0147 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F15662	MEATLOAF	MEATLOAF	A0150 B1134 C0268 E0147 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F4749	MEATLOAF SANDWICH	MEATLOAF SANDWICH	A0218 B1134 C0268 E0105 F0014 G0001 H0152 H0186 H0207 J0001 K0003 M0001 N0001 P0024	
F6444	MEATLOAF SEASONING MIX	MEATLOAF SEASONING MIX	A0133 B0001 C0001 E0001 F0014 G0003 H0227 J0001 K0003 M0001 N0001 P0024 Z0074	
F10803	MEATLOAF, COOKED	MEATLOAF, COOKED	A0150 B1161 C0268 E0147 F0014 G0001 H0117 H0152 H0186 H0212 J0001 K0003 M0001 N0001 P0024	
F16586	MEAT-VEGETABLE CONSERVE	MEAT-VEGETABLE CONSERVE	A0150 B1134 C0127 E0144 F0001 G0001 H0212 J0001 K0001 M0001 N0001 P0024	
F5348	MELBA TOAST	MELBA TOAST	A0178 B1312 C0155 E0145 F0014 G0010 H0138 H0256 J0001 K0003 M0001 N0001 P0024	
F4503	MELBA TOAST, UNSALTED	MELBA TOAST, UNSALTED	A0178 B1312 C0155 E0145 F0014 G0010 H0138 H0256 J0001 K0003 M0001 N0001 P0024 P0078	
F5470	MELLORINE	MELLORINE	A0232 B0001 C0001 E0135 F0018 G0003 H0136 H0178 H0184 H0263 J0136 K0003 M0001 N0001 P0024	
F7879	MELON SEED	MELON SEED	A0143 B1283 C0155 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4880	MELON SEED, DRIED	MELON SEED, DRIED	A0143 B1283 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F16378	MELON, DRIED	MELON, DRIED	A0143 B1283 C0167 E0151 F0001 G0001 H0138 J0116 K0001 M0001 N0001 P0024	
F1593	MELON, RAW	MELON, RAW	A0143 B1283 C0167 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F4343	MEMMI	MEMMI	A0286 B0001 C0001 E0130 F0001 G0003 H0227 J0001 K0003 M0001 N0001 P0024	
F8070	MENHADEN, RAW	MENHADEN, RAW	A0267 B1396 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F17146	MERINGUE TOPPING	MERINGUE TOPPING	A0269 B1713 C0241 E0144 F0001 G0001 H0158 J0001 K0001 M0001 N0001 P0024	
F17485	MERMELADAS	MERMELADAS		
F1633	MESCAL	MESCAL	A0200 B1535 C0162 E0123 F0014 G0003 H0232 H0270 J0104 K0003 M0130 N0040 P0024	
F4437	MEXICAN DINNER	MEXICAN DINNER	A0139 B0001 C0001 E0001 F0018 G0003 H0152 H0212 H0227 J0001 K0003 M0001 N0001 P0024	
F8913	MEXICAN FLOUNDER, RAW	MEXICAN FLOUNDER, RAW	A0267 B2285 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F7873	MEXICAN TEA LEAF, DRY	MEXICAN TEA LEAF, DRY	A0268 B2058 C0200 E0100 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F2684	MIDDLE EAST BREAD	MIDDLE EAST BREAD	A0178 B1312 C0208 E0140 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F16152	MILK ANALOG	MILK ANALOG	A0182 B0001 C0001 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F2475	MILK AND HONEY BREAD	MILK AND HONEY BREAD	A0178 B1312 C0208 E0151 F0014 G0003 H0149 H0184 H0186 H0256 J0001 K0003 M0001 N0001 P0024	
F15488	MILK BEVERAGE	MILK BEVERAGE	A0148 B1297 C0235 E0123 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F3846	MILK BEVERAGE, FERMENTED	MILK BEVERAGE, FERMENTED	A0101 B1134 C0235 E0123 F0001 G0003 H0119 H0253 J0001 K0003 M0001 N0001 P0024	
F7478	MILK BEVERAGE, FLAVORED	MILK BEVERAGE, FLAVORED	A0148 B1201 C0235 E0130 F0018 G0003 H0117 J0135 K0003 M0001 N0001 P0024	
F2360	MILK BREAD	MILK BREAD	A0178 B1312 C0208 E0151 F0014 G0003 H0184 H0256 J0001 K0003 M0001 N0001 P0024	
F2806	MILK CHOCOLATE	MILK CHOCOLATE	A0288 B1012 C0210 E0147 F0014 G0003 H0119 H0184 H0228 H0231 H0253 H0263 J0001 K0003 M0001 N0001 P0024	
F16767	MILK CHOCOLATE AND VEGETABLE OIL COATING	MILK CHOCOLATE AND VEGETABLE OIL COATING	A0272 B1012 C0210 E0001 F0001 G0001 H0119 H0184 H0231 H0253 H0263 J0001 K0001 M0001 N0001 P0024	
F10436	MILK CHOCOLATE CANDY, HOLLOW	MILK CHOCOLATE CANDY, HOLLOW	A0288 B1012 C0210 E0147 F0014 G0003 H0100 H0119 H0184 H0231 H0253 H0263 J0001 K0003 M0001 N0001 P0024	
F3148	MILK CHOCOLATE FINGER COOKIE	MILK CHOCOLATE FINGER COOKIE	A0203 B1312 C0208 E0140 F0014 G0005 H0100 H0119 H0184 H0221 H0231 H0253 J0001 K0003 M0001 N0001 P0024	
F3149	MILK CHOCOLATE FRUITIE COOKIE	MILK CHOCOLATE FRUITIE COOKIE	A0203 B1312 C0208 E0153 F0014 G0005 H0100 H0119 H0136 H0184 H0231 H0253 J0001 K0003 M0001 N0001 P0024	
F3945	MILK CHOCOLATE PEANUT CLUSTER CANDY	MILK CHOCOLATE PEANUT CLUSTER CANDY	A0288 B1012 C0210 E0147 F0014 G0003 H0100 H0119 H0124 H0184 H0231 H0253 H0391 J0001 K0003 M0001 N0001 P0024	
F7341	MILK CHOCOLATE WITH RICE CRISPIES	MILK CHOCOLATE WITH RICE CRISPIES	A0288 B1012 C0210 E0147 F0014 G0003 H0100 H0119 H0152 H0184 H0231 H0253 H0263 J0001 K0003 M0001 N0001 P0024	
F3615	MILK CHOCOLATE, ARTIFICIALLY SWEETENED	MILK CHOCOLATE, ARTIFICIALLY SWEETENED	A0272 B1318 C0132 E0147 F0014 G0003 H0100 H0108 H0119 H0184 H0253 H0263 J0001 K0003 M0001 N0001 P0024 P0045	
F15388	MILK CHOCOLATE, CARBOHYDRATE MODIFIED	MILK CHOCOLATE, CARBOHYDRATE MODIFIED	A0272 B0001 C0001 E0001 F0001 G0001 H0119 H0141 H0184 H0253 J0001 K0001 P0024	
F16770	MILK CHOCOLATE, SKIM	MILK CHOCOLATE, SKIM	A0288 B1012 C0001 E0001 F0022 G0001 H0119 H0184 H0231 H0248 H0253 J0001 K0001 M0001 N0001 P0024	
F2820	MILK CHOCOLATE, SWEET	MILK CHOCOLATE, SWEET	A0272 B1012 C0210 E0140 F0014 G0003 H0100 H0119 H0184 H0231 H0253 H0262 J0003 K0003 M0001 N0001 P0024	
F3755	MILK CHOCOLATE, VITAMIN- AND MINERAL-FORTIFIED	MILK CHOCOLATE, VITAMIN- AND MINERAL-FORTIFIED	A0288 B1012 C0210 E0147 F0014 G0003 H0100 H0119 H0159 H0163 H0184 H0194 H0231 H0253 H0263 J0001 K0003 M0001 N0001 P0024	
F3766	MILK CHOCOLATE-FLAVORED CANDY BAR	MILK CHOCOLATE-FLAVORED CANDY BAR	A0288 B1012 C0210 E0147 F0014 G0003 H0100 H0119 H0184 H0231 H0253 H0263 J0001 K0003 M0001 N0001 P0024	
F3598	MILK CHOCOLATE-FLAVORED CANDY BAR, SWEETENED WITH SORBITOL	MILK CHOCOLATE-FLAVORED CANDY BAR, SWEETENED WITH SORBITOL	A0288 B1012 C0281 E0147 F0014 G0003 H0119 H0174 H0184 H0228 H0231 H0253 H0263 J0001 K0003 M0001 N0001 P0023 P0024	
F2201	MILK COOKIE	MILK COOKIE	A0203 B1312 C0208 E0140 F0014 G0003 H0184 J0001 K0003 M0001 N0001 P0024	
F16634	MILK DRINK, FERMENTED, SAVORY	MILK DRINK, FERMENTED, SAVORY	A0148 B1201 C0235 E0001 F0001 G0001 H0119 H0227 H0253 J0001 K0003 M0001 N0001 P0024	
F3835	MILK FAT, ANHYDROUS	MILK FAT, ANHYDROUS	A0148 B1201 C0235 E0001 F0018 G0003 H0138 J0135 K0003 M0001 N0001 P0024	
F17207	MILK FOR INFANT	MILK FOR INFANT	A0148 B1297 C0235 E0130 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0020	
F15150	MILK PRODUCT	MILK PRODUCT	A0148 B1297 C0235 E0001 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024	
F1644	MILK PRODUCT, DRY	MILK PRODUCT, DRY	A0148 B1134 C0235 E0136 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F11174	MILK PRODUCT, ENRICHED	MILK PRODUCT, ENRICHED	A0148 B1201 C0113 E0001 F0018 G0003 H0194 J0135 K0003 M0001 N0001 P0024	
F15513	MILK PRODUCT, FERMENTED	MILK PRODUCT, FERMENTED	A0148 B1297 C0235 E0001 F0001 G0001 H0119 J0001 K0001 M0001 N0001 P0024	
F17542	MILK PRODUCT, FLAVORED	MILK PRODUCT, FLAVORED	A0148 B1201 C0235 E0001 F0018 G0001 H0117 J0120 J0135 K0003 M0001 N0001 P0024	
F15273	MILK PRODUCT, WHIPPED	MILK PRODUCT, WHIPPED	A0148 B1201 C0235 E0001 F0022 G0001 H0358 J0001 K0001 M0001 N0001 P0024	
F15719	MILK PROTEIN, HYDROLYZED	MILK PROTEIN, HYDROLYZED	A0148 B1297 C0180 E0001 F0001 G0001 H0277 J0001 K0001 M0001 N0001 P0024	
F16578	MILK PUDDING	MILK PUDDING	A0285 B1201 C0235 E0119 F0022 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F7485	MILK SHAKE	MILK SHAKE	A0148 B1201 C0235 E0102 F0018 G0003 H0117 H0136 J0135 K0003 M0001 N0001 P0024	
F7492	MILK SHAKE MIX	MILK SHAKE MIX	A0148 B1201 C0235 E0139 F0018 G0003 H0136 J0135 K0003 M0001 N0001 P0024 Z0074	
F4379	MILK SHAKE MIX, DRY	MILK SHAKE MIX, DRY	A0148 B1201 C0235 E0106 F0018 G0003 H0136 H0138 J0116 K0003 M0001 N0001 P0024 Z0090	
F4378	MILK SOLIDS FROM MILK BYPRODUCTS	MILK SOLIDS FROM MILK BYPRODUCTS	A0164 B1134 C0113 E0001 F0001 G0003 H0138 J0001 K0003 M0001 N0001 P0024	
F5408	MILK SUBSTITUTE	MILK SUBSTITUTE	A0182 B0001 C0001 E0123 F0018 G0003 H0221 J0135 K0003 M0001 N0001 P0024	
F15427	MILK SUBSTITUTE OF VEGETABLE ORIGIN	MILK SUBSTITUTE OF VEGETABLE ORIGIN	A0147 B1579 C0180 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F10629	MILK SUBSTITUTE, HYPOALLERGENIC	MILK SUBSTITUTE, HYPOALLERGENIC	A0147 B1452 C0236 E0123 F0022 G0001 H0146 H0224 H0263 J0001 K0003 M0001 N0001 P0023 P0024	
F16605	MILK SWEETS	MILK SWEETS	A0188 B0001 C0001 E0001 F0001 G0001 H0184 H0202 J0001 K0001 M0001 N0001 P0024	
F11431	MILK TEA, CANNED	MILK TEA, CANNED	A0268 B1012 C0210 E0123 F0014 G0003 H0100 H0184 H0227 H0248 J0123 K0003 M0194 N0001 P0024	
F15633	MILK WITH ADDED MILK SOLIDS, PARTLY SKIMMED	MILK WITH ADDED MILK SOLIDS, PARTLY SKIMMED	A0148 B1201 C0235 E0123 F0022 G0001 H0184 H0247 J0001 K0001 M0001 N0001 P0024	
F15634	MILK WITH ADDED MILK SOLIDS, PARTLY SKIMMED, FLAVORED	MILK WITH ADDED MILK SOLIDS, PARTLY SKIMMED, FLAVORED	A0148 B1201 C0235 E0123 F0022 G0001 H0184 H0227 H0247 J0001 K0001 M0001 N0001 P0024	
F3907	MILK, ACIDIFIED	MILK, ACIDIFIED	A0148 B1201 C0235 E0123 F0018 G0003 H0200 J0135 K0003 M0001 N0001 P0024	
F2040	MILK, BLEACHED	MILK, BLEACHED	A0148 B1201 C0235 E0123 F0001 G0003 H0197 J0001 K0003 M0001 N0001 P0024	
F5610	MILK, CANNED	MILK, CANNED	A0148 B1201 C0235 E0123 F0018 G0003 H0001 J0123 K0003 M0151 N0019 P0024	
F1503	MILK, CONCENTRATED	MILK, CONCENTRATED	A0148 B1201 C0235 E0139 F0018 G0003 H0138 J0135 K0003 M0001 N0001 P0024	
F7456	MILK, CONCENTRATED, FROZEN	MILK, CONCENTRATED, FROZEN	A0148 B1201 C0235 E0139 F0018 G0003 H0114 J0136 K0003 M0001 N0001 P0024	
F15759	MILK, CONCENTRATED, PARTLY SKIMMED	MILK, CONCENTRATED, PARTLY SKIMMED	A0148 B1201 C0235 E0139 F0022 G0001 H0138 H0247 J0001 K0001 M0001 N0001 P0024	
F17734	MILK, CONDENSED	MILK, CONDENSED		
F3908	MILK, CULTURED	MILK, CULTURED	A0101 B1201 C0235 E0123 F0018 G0003 H0119 J0135 K0003 M0001 N0001 P0024	
F17742	MILK, CULTURED, FLAVORED	MILK, CULTURED, FLAVORED		
F17516	MILK, CURDLED	MILK, CURDLED		
F17648	MILK, DRIED, HALF CREAM	MILK, DRIED, HALF CREAM		
F10639	MILK, DRY	MILK, DRY	A0148 B1201 C0235 E0106 F0022 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F16775	MILK, DRY, NONFAT, VITAMIN A AND D FORTIFIED	MILK, DRY, NONFAT, VITAMIN A AND D FORTIFIED	A0148 B1201 C0235 E0106 F0014 G0001 H0138 H0214 H0248 H0316 J0116 K0001 M0001 N0001 P0024	
F4841	MILK, EGGNOG-FLAVORED	MILK, EGGNOG-FLAVORED	A0148 B1201 C0235 E0123 F0018 G0003 H0117 J0135 K0003 M0001 N0001 P0024	
F15758	MILK, EVAPORATED, PARTLY SKIMMED	MILK, EVAPORATED, PARTLY SKIMMED	A0148 B1201 C0235 E0139 F0022 G0001 H0138 H0247 J0001 K0001 M0001 N0001 P0024	
F2672	MILK, FERMENTED	MILK, FERMENTED	A0148 B1297 C0235 E0001 F0001 G0003 H0119 H0158 H0227 H0253 J0104 K0003 M0001 N0001 P0024	
F17741	MILK, FERMENTED, FLAVORED	MILK, FERMENTED, FLAVORED		
F15405	MILK, FLAVOR MODIFIED	MILK, FLAVOR MODIFIED	A0148 B1297 C0235 E0001 F0001 G0001 H0141 J0001 K0001 M0001 N0001 P0024	
F1499	MILK, FLAVORED	MILK, FLAVORED	A0148 B1201 C0235 E0123 F0018 G0003 H0117 J0135 K0003 M0001 N0001 P0024	
F2116	MILK, FLUID	MILK, FLUID	A0148 B1201 C0235 E0123 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F15343	MILK, FORMULATED, POWDERED	MILK, FORMULATED, POWDERED	A0148 B1297 C0235 E0106 F0001 G0001 H0138 J0116 K0001 M0001 P0024 Z0074	
F1497	MILK, FORTIFIED	MILK, FORTIFIED	A0148 B1201 C0235 E0123 F0018 G0003 H0194 J0135 K0003 M0001 N0001 P0024	
F4389	MILK, FROZEN	MILK, FROZEN	A0148 B1201 C0235 E0123 F0018 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F15516	MILK, FRUIT-FLAVORED	MILK, FRUIT-FLAVORED	A0148 B1201 C0235 E0123 F0022 G0001 H0227 J0001 K0001 M0001 N0001 P0024	
F10499	MILK, HIGH TEMPERATURE SHORT TIME	MILK, HIGH TEMPERATURE SHORT TIME	A0148 B1201 C0235 E0123 F0018 G0003 H0001 J0135 K0003 M0001 N0001 P0024	
F1498	MILK, HOMOGENIZED	MILK, HOMOGENIZED	A0148 B1201 C0235 E0123 F0018 G0003 H0306 J0135 K0003 M0001 N0001 P0024	
F9546	MILK, LACTOSE-REDUCED	MILK, LACTOSE-REDUCED	A0148 B1201 C0235 E0123 F0018 G0003 H0203 J0135 K0003 M0001 N0001 P0024	
F16546	MILK, LONG-LIFE, CONSUMER	MILK, LONG-LIFE, CONSUMER	A0148 B1297 C0235 E0123 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F4380	MILK, LOW SODIUM	MILK, LOW SODIUM	A0148 B1201 C0235 E0123 F0018 G0003 H0236 J0135 K0003 M0001 N0001 P0024 P0156	
F4382	MILK, LOW SODIUM, DRIED	MILK, LOW SODIUM, DRIED	A0148 B1201 C0235 E0106 F0018 G0003 H0138 H0236 J0116 K0003 M0001 N0001 P0024 P0156	
F16776	MILK, LOWFAT, ACIDIFIED	MILK, LOWFAT, ACIDIFIED	A0148 B1201 C0235 E0123 F0022 G0001 H0200 H0247 J0001 K0001 M0001 N0001 P0024	
F16778	MILK, LOWFAT, CULTURED	MILK, LOWFAT, CULTURED	A0148 B1297 C0235 E0123 F0022 G0001 H0101 H0247 J0001 K0001 M0001 N0001 P0024	
F15818	MILK, MALTED, FLAVORED	MILK, MALTED, FLAVORED	A0148 B1297 C0235 E0123 F0001 G0001 H0117 H0152 J0001 K0001 M0001 N0001 P0024	
F4381	MILK, MODIFIED	MILK, MODIFIED	A0148 B1201 C0235 E0130 F0001 G0003 H0141 J0001 K0003 M0001 N0001 P0024	
F11695	MILK, NOT FURTHER SPECIFIED	MILK, NOT FURTHER SPECIFIED		
F16085	MILK, PARTLY DEHYDRATED, WITH LESS THAN 28% SOLIDS	MILK, PARTLY DEHYDRATED, WITH LESS THAN 28% SOLIDS	A0148 B1201 C0235 E0001 F0022 G0001 H0138 J0001 K0001 M0001 N0001 P0024	
F16086	MILK, PARTLY DRIED, WITH MORE THAN 28% MILK SOLIDS	MILK, PARTLY DRIED, WITH MORE THAN 28% MILK SOLIDS	A0148 B1201 C0235 E0001 F0022 G0001 H0138 J0001 K0001 M0001 N0001 P0024	
F15630	MILK, PARTLY SKIMMED, FLAVORED	MILK, PARTLY SKIMMED, FLAVORED	A0148 B1201 C0235 E0123 F0022 G0001 H0227 H0247 J0001 K0003 M0001 N0001 P0024	
F7458	MILK, PART-SKIM	MILK, PART-SKIM	A0148 B1201 C0235 E0123 F0018 G0003 H0247 J0135 K0003 M0001 N0001 P0024	
F5609	MILK, PASTEURIZED	MILK, PASTEURIZED	A0148 B1201 C0235 E0123 F0018 G0003 H0001 J0135 K0003 M0001 N0001 P0024	
F17382	MILK, PASTUERIZED, FRESH	MILK, PASTUERIZED, FRESH	A0148 B1297 C0235 E0001 F0018 G0001 H0001 J0135 K0001 M0001 N0001 P0024	
F6002	MILK, POWDERED	MILK, POWDERED	A0148 B1201 C0235 E0106 F0018 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F10140	MILK, POWDERED, FREEZE-DRIED	MILK, POWDERED, FREEZE-DRIED	A0148 B1201 C0235 E0106 F0014 G0003 H0138 J0130 K0003 M0001 N0001 P0024	
F16552	MILK, POWDERED, INSTANT, WITH COCOA FLAVORING	MILK, POWDERED, INSTANT, WITH COCOA FLAVORING	A0148 B1201 C0235 E0106 F0014 G0001 H0138 H0169 H0231 J0116 K0003 M0001 N0001 P0024	
F16554	MILK, POWDERED, INSTANT, WITH COFFEE FLAVORING	MILK, POWDERED, INSTANT, WITH COFFEE FLAVORING	A0148 B1201 C0235 E0106 F0014 G0001 H0138 H0169 H0227 J0116 K0003 M0001 N0001 P0024	
F16556	MILK, POWDERED, INSTANT, WITH SUGAR FLAVORING	MILK, POWDERED, INSTANT, WITH SUGAR FLAVORING	A0148 B1201 C0235 E0106 F0014 G0001 H0138 H0169 H0227 J0116 K0001 M0001 N0001 P0024	
F7480	MILK, POWDERED, SOFT CURD	MILK, POWDERED, SOFT CURD	A0148 B1201 C0235 E0106 F0018 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F4703	MILK, PRECULTURED	MILK, PRECULTURED	A0101 B1134 C0245 E0109 F0003 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F16058	MILK, PRESERVED	MILK, PRESERVED	A0148 B1297 C0235 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F7455	MILK, RAW	MILK, RAW	A0148 B1201 C0235 E0123 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024 P0121	
F4375	MILK, RECONSTITUTED	MILK, RECONSTITUTED	A0148 B1201 C0235 E0123 F0018 G0003 H0259 J0135 K0003 M0001 N0001 P0024	
F17576	MILK, SEMI-SKIMMED, PASTEURIZED	MILK, SEMI-SKIMMED, PASTEURIZED	A0148 B1201 C0235 E0123 F0018 G0003 H0247 J0135 K0003 M0001 N0001 P0024	
F17578	MILK, SEMI-SKIMMED, STERILIZED	MILK, SEMI-SKIMMED, STERILIZED	A0148 B1201 C0235 E0123 F0014 G0003 H0247 J0123 K0003 M0001 N0001 P0024	
F17580	MILK, SEMI-SKIMMED, UHT-STERILIZED	MILK, SEMI-SKIMMED, UHT-STERILIZED	A0148 B1201 C0235 E0123 F0014 G0003 H0247 J0147 K0003 M0001 N0001 P0024	
