FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
CR1992	TOMATO PASTE	TOMATO PASTE	A0152 B1276 C0140 E0119 F0014 G0003 H0113 J0001 K0003 M0001 N0001 P0024
CR1995	TOMATO CATSUP	TOMATO CATSUP	A0179 B1276 C0140 E0135 F0014 G0003 H0136 H0151 H0200 J0001 K0003 M0001 N0001 P0024
CR2000	TOMATO JUICE	TOMATO JUICE	A0264 B1276 C0140 E0114 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CR2010	TOMATO SAUCE	TOMATO SAUCE	A0152 B1276 C0140 E0139 F0014 G0003 H0151 H0227 J0001 K0003 M0001 N0001 P0024
CR2020	TOMATO SOUP	TOMATO SOUP	A0180 B1276 C0140 E0139 F0014 G0001 H0227 H0152 J0001 K0003 M0001 N0001 P0024
CR2030	COLESLAW	COLESLAW	A0208 B1406 C0151 E0134 F0003 G0003 H0263 H0200 H0212 H0227 H0151 J0001 K0003 M0001 N0001 P0024
CR2040	CELERY, RAW	CELERY, RAW	A0152 B1282 C0101 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2041	CELERIAC, RAW	CELERIAC, RAW	A0152 B1729 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2042	CELERIAC, AGGREGATE (RAW, COOKED)	CELERIAC, AGGREGATE (RAW, COOKED)	A0152 B1729 C0240 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2043	CELERY LEAF, AGGREGATE (RAW, COOKED)	CELERY LEAF, AGGREGATE (RAW, COOKED)	A0152 B1282 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2050	CUCUMBER, RAW	CUCUMBER, RAW	A0152 B1404 C0167 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2055	CORIANDER, AGGREGATE (RAW, COOKED)	CORIANDER, AGGREGATE (RAW, COOKED)	A0113 B1381 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2060	FENNEL, AGGREGATE (RAW, COOKED)	FENNEL, AGGREGATE (RAW, COOKED)	A0113 B1262 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2065	MINT, AGGREGATE (RAW, COOKED)	MINT, AGGREGATE (RAW, COOKED)	A0113 B1267 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2070	LETTUCE, NOT FURTHER SPECIFIED	LETTUCE, NOT FURTHER SPECIFIED	A0152 B1390 C0151 E0151 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CR2071	ICEBERG LETTUCE, RAW	ICEBERG LETTUCE, RAW	A0152 B2083 C0151 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2072	LETTUCE LEAF, RAW	LETTUCE LEAF, RAW	A0152 B1390 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2073	ROMAINE LETTUCE, RAW	ROMAINE LETTUCE, RAW	A0152 B2089 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2075	COLLARD GREENS, AGGREGATE (CANNED, FROZEN)	COLLARD GREENS, AGGREGATE (CANNED, FROZEN)	A0152 B1385 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2076	COLLARD GREENS, RAW	COLLARD GREENS, RAW	A0152 B1385 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2077	COLLARD GREENS, AGGREGATE (RAW, CANNED, FROZEN)	COLLARD GREENS, AGGREGATE (RAW, CANNED, FROZEN)	A0152 B1385 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2078	SPINACH, AGGREGATE (COOKED, CANNED)	SPINACH, AGGREGATE (COOKED, CANNED)	A0152 B1420 C0200 E0151 F0014 G0001 H0001 J0001 K0001 M0001 N0001 P0024
CR2079	SPINACH, AGGREGATE (FROZEN, COOKED, CANNED)	SPINACH, AGGREGATE (FROZEN, COOKED, CANNED)	A0152 B1420 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2080	SPINACH, RAW	SPINACH, RAW	A0152 B1420 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2081	SPINACH, COOKED FROM RAW	SPINACH, COOKED FROM RAW	A0152 B1420 C0200 E0151 F0014 G0001 H0003 J0001 K0003 M0001 N0001 P0024
CR2082	SPINACH, AGGREGATE (FROZEN, COOKED)	SPINACH, AGGREGATE (FROZEN, COOKED)	A0152 B1420 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2083	SPINACH, FROZEN	SPINACH, FROZEN	A0152 B1420 C0200 E0151 F0018 G0003 H0001 J0136 K0003 M0001 N0001 P0024
CR2084	MUSTARD GREENS, COOKED	MUSTARD GREENS, COOKED	A0152 B2069 C0200 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2085	MUSTARD GREENS, AGGREGATE (CANNED, FROZEN)	MUSTARD GREENS, AGGREGATE (CANNED, FROZEN)	A0152 B2069 C0200 E0151 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024
CR2086	TURNIP, RAW	TURNIP, RAW	A0152 B1238 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2087	TURNIP, COOKED	TURNIP, COOKED	A0152 B1238 C0240 E0150 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2088	MUSTARD GREENS, AGGREGATE (RAW, COOKED, CANNED, FROZEN)	MUSTARD GREENS, AGGREGATE (RAW, COOKED, CANNED, FROZEN)	A0152 B2069 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2100	ONION, RAW	ONION, RAW	A0152 B1300 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2102	ONION, FROZEN	ONION, FROZEN	A0152 B1300 C0240 E0151 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024
CR2103	PARSLEY, DRIED	PARSLEY, DRIED	A0113 B1550 C0200 E0100 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CR2104	PARSLEY, RAW	PARSLEY, RAW	A0113 B1550 C0144 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2105	GARLIC, RAW	GARLIC, RAW	A0113 B1233 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2106	RADISH, RAW	RADISH, RAW	A0152 B1315 C0239 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
